date,content
2026-03-30,"■ 주요 뉴스: 미국, 이란과 협상 중이며 성과 기대. 후티 반군 참전이란은 미군 공격 지속 ○ 미국 3월 비농업 고용, 소폭 증가 예상. 향후 금리경로 영향 등에 관심 ○ 미국 3월 미시건대 소비자심리지수(확정치), 3개월 만에 최저. 高유가 등이 영향 ○ 일본 총리, 석유 관련 제품의 공급 안정 강조. 10년물 국채금리는 27년래 최고 ■ 국제금융시장(주간): 미국은 중동전쟁 협상 불확실성 등으로 위험자산 선호 약화 주가 하락[-2.1%], 달러화 강세[+0.5%], 금리 상승[+5bp] ○ 주가: 미국 SP500지수는 중동지역 긴장 고조, 인플레이션 우려 등으로 하락 유로 Stoxx600지수는 중동전쟁 불구 화학에너지전력 관련주 강세로 상승 ○ 환율: 달러화지수는 중동전쟁 격화 가능성, 안전자산 선호 강화 등으로 상승 유로화와 엔화 가치는 각각 0.5%, 0.7% 하락 ○ 금리: 미국 10년물 국채 금리는 인플레이션 우려 고조, 금리인하 기대 후퇴 등이 배경 독일은 ECB 금리인상 전망 확대 등으로 5bp 상승 ※ 원/달러 환율(주간) 0.4% 상승, 한국 CDS 상승"
2026-03-28,"■ 주요 뉴스: 중동 전쟁 종전 협상 불확실성 지속, 예맨 후티 반군 참전 시사 ○ 미국 연준 주요 인사, 에너지 가격 상승에 의한 인플레이션 우려 ○ 유럽중앙은행(ECB) 주요 인사, 신중한 통화정책 입장 유지 시사 ○ 일본은행(BOJ), 금리인상 이후에도 금융여건 완화적 평가 ■ 국제금융시장: 중동 전쟁 불확실성 및 에너지 가격 상승發 인플레이션 우려 지속 미국 주가 하락[-1.7%], 달러화 강세[+0.3%], 금리 상승[+2bp] ○ 주가: 미국 SP500은 고점 대비 8.7%. 다우는 기술적 조정(고점比 -10%) 진입 유로 Stoxx600은 중동 전쟁 영향에 대한 경계감이 이어지면서 하락(-1.0%) ○ 환율: 달러화지수, 안전통화 선호 등으로 상승. 엔/달러는 160엔 상회 유로화는 미 달러화 대비 0.2% 약세, 엔화는 0.3% 약세 ○ 금리: 미국 10년물 국채금리는 에너지 가격 상승에 따른 인플레이션 우려로 상승 독일은 ECB 금리인상 기대가 커지면서( 연내 3회) 15년래 최고치 경신 ※ 뉴욕 1M NDF 종가 1506.98원(스왑포인트 감안 시 0.1% 하락). 한국 CDS 보합"
2026-03-27,"■ 주요 뉴스 : 미국 트럼프, 이란 에너지 시설 공격 유예 연장. 이란은 미국 협상안에 불만 ○ OECD, 금년 글로벌 인플레이션 전망 대폭 상향. 중동 전쟁 영향 등을 반영 ○ 미국 주간 신규실업급여 청구, 소폭 증가. BlackRock은 전쟁 위험 과소평가 경고 ○ ECB 주요 인사, 4월 금리인상 가능. 독일 4월 GfK 소비자신뢰는 하락 ■ 국제금융시장 : 미국은 이란과의 종전 협상 불확실성, 對이란 공격 연기 등이 영향 주가 하락[-1.7%], 달러화 강세[+0.3%], 금리 상승[+8bp] ○ 주가 : 미국 SP500지수는 중동지역 긴장 고조, 인플레이션 우려 등으로 하락 유로 Stoxx600지수는 순탄하지 않은 종전 협상 등으로 1.1% 하락 ○ 환율 : 달러화지수는 중동 전쟁의 외교적 해결 기대 감소 등으로 상승 유로화와 엔화 가치는 각각 0.3%, 0.2% 하락 ○ 금리 : 미국 10년물 국채금리는 高유가, 금리인하 전망 후퇴 등으로 상승 독일은 ECB의 조기 금리인상 가능성 등으로 12bp 상승 ※ 뉴욕 1M NDF 종가 1507.2원(스왑포인트 감안 시 1508.4원, 0.10% 상승). 한국 CDS 상승"
2026-03-26,"■ 주요 뉴스: 미국, 이란과의 고위급 회담 추진. 이란은 협상에 대한 부정적 입장 피력 ○ 미국 백악관, 5월에 중국과 정상회담. 글로벌 임시 관세는 15%로 인상 중 ○ ECB 총재, 인플레이션이 장기간 목표치 상회한다면 대응에 나설 방침 ○ 독일 3월 Ifo 경기기대지수, 전월비 하락. 영국 2월 소비자물가는 전월비 보합 ■ 국제금융시장: 미국은 이란과의 종전 협상 기대 등으로 위험자산 선호 강화 주가 상승[+0.5%], 달러화 강세[+0.2%], 금리 하락[-3bp] ○ 주가: 미국 SP500지수는 미국-이란 갈등 완화 가능성, 유가 하락 등으로 상승 유로 Stoxx600지수는 미국 증시 영향 등으로 1.4% 상승 ○ 환율: 달러화지수는 이란의 미국 휴전안 거부 등이 부각되며 상승 유로화와 엔화 가치는 각각 0.4%, 0.5% 하락 ○ 금리: 미국 10년물 국채금리는 유가 하락에 따른 인플레이션 우려 완화 등이 배경 독일은 미국 국채시장 영향 등으로 7bp 하락 ※ 뉴욕 1M NDF 종가 1504.9원(스왑포인트 감안 시 1506.2원, 0.43% 상승). 한국 CDS 하락"
2026-03-25,"■ 주요 뉴스: 미국, 이란에 휴전 계획 전달. 동시에 중동 지역에 추가 병력 배치도 계획 ○ 미국 3월 SP 글로벌 종합 PMI, 11개월래 최저. 대규모 사모대출 환매 지속 ○ 유로존 3월 HCOB 종합 PMI, 전월비 상승. 인플레이션 우려는 고조 ○ 일본 2월 소비자물가지수, 상승세 둔화. 일본은행 총재는 금리인상을 지지 ■ 국제금융시장: 미국은 이란 전쟁 휴전 불확실성, 유가 상승 등이 영향 주가 하락[-0.4%], 달러화 강세[+0.3%], 금리 상승[+2bp] ○ 주가: 미국 SP500지수는 중동 분쟁 장기화 가능성 재부각 등으로 하락 유로 Stoxx600지수는 화학에너지전력 관련주가 주도하며 0.4% 상승 ○ 환율: 달러화지수는 유가 반등 등으로 안전자산 선호 강화되며 상승 유로화 가치는 약보합, 엔화 가치는 0.2% 하락 ○ 금리: 미국 10년물 국채금리는 인플레이션 우려 고조 등이 배경 독일은 미국 국채시장 영향 등으로 2bp 상승 ※ 뉴욕 1M NDF 종가 1494.1원(스왑포인트 감안 시 1495.6원, 0.03% 상승). 한국 CDS 상승"
2026-03-24,"■ 주요 뉴스: 미국 트럼프, 이란 에너지 시설 공격 연기. 양국 간의 대화는 생산적 ○ 미국 시카고 연은 총재, 연내 금리인하 가능. 연준 마이런 이사도 금리인하 지지 ○ ECB 주요 인사, 이란 전쟁 영향 경계. 유로존 3월 소비자신뢰는 전월비 하락 ○ 일본 정부, 환율 안정 위해 모든 수단 동원. 시장 개입 가능하다는 의미로 해석 ■ 국제금융시장: 미국은 트럼프의 이란 발전소 공격 보류 등으로 위험자산 선호 강화 주가 상승[+1.2%], 달러화 약세[-0.5%], 금리 하락[-4bp] ○ 주가: 미국 SP500지수는 美이란 협상 기대, 저가매수 유입 등으로 상승 유로 Stoxx600지수는 미국과 이란의 외교적 갈등 해결 가능성 등으로 0.6% 상승 ○ 환율: 달러화지수는 이란과의 긴장 완화 가능성, 안전자산 선호 약화 등으로 하락 유로화와 엔화 가치는 각각 0.4%, 0.5% 상승 ○ 금리: 미국 10년물 국채금리는 유가 하락에 따른 인플레이션 우려 감소 등에 기인 독일은 미국 국채시장의 영향 등으로 4bp 하락 ※ 뉴욕 1M NDF 종가 1485.5원(스왑포인트 감안 시 1486.9원, 2.0% 하락). 한국 CDS 강보합"
2026-03-23,"■ 주요 뉴스: 미국, 호르무즈 개방하지 않으면 이란 발전소 초토화. 이란은 완전 봉쇄 경고 ○ 연준 보우먼 이사, 연내 3회의 금리인하 지지. 월러 이사는 신중한 입장 강조 ○ ECB 주요 인사, 인플레이션 압력을 경계. 필요에 따라 신속한 대응 가능 ○ 중국 리창 총리, 균형 잡힌 무역발전을 준비. 시장 개방도 확대할 방침 ■ 국제금융시장(주간): 미국은 이란 전쟁 격화, 3월 FOMC 관련 매파적 평가 등이 영향 주가 하락[-1.9%], 달러화 약세[-0.7%], 금리 상승[+10bp] ○ 주가: 미국 SP500지수는 중동 갈등 장기화 및 인플레이션 우려 고조 등으로 하락 유로 Stoxx600지수는 高유가로 인한 경기둔화 가능성 등으로 3.8% 하락 ○ 환율: 달러화지수는 여타 중앙은행의 긴축적 통화정책 전망 부각 등으로 하락 유로화와 엔화 가치는 각각 1.4%, 0.3% 상승 ○ 금리: 미국 10년물 국채 금리는 금리인하 기대 후퇴 등이 배경 독일은 물가 억제를 위한 ECB의 금리인상 가능성 등으로 6bp 상승 ※ 원/달러 환율(주간) 0.5% 상승, 한국 CDS 상승"
2026-03-21,"■ 주요 뉴스: 호르무즈 봉쇄 장기화 속 英 군사지원 확대, 유가 상승세 지속 등 ○ 미이란 전쟁 장기화, 연준 통화정책 기대의 급격한 재조정 촉발 ○ 스페인, 이란 전쟁發 에너지 충격 대응 50억유로 규모 지원책 발표 ○ ECB 정책위원 나겔, 인플레이션 우려 심화시 4월 금리인상 가능성 시사 ■ 국제금융시장: 미국은 이란 전쟁 지속, 유가 상승 등으로 위험자산 선호 약화 주가 하락[-1.5%], 달러화 강세[+0.3%], 금리 상승[+13bp] ○ 주가: 미국 SP500지수는 이란 전쟁 장기화 리스크 등으로 하락 유로 Stoxx600지수는 高유가로 인한 인플레이션 우려 등으로 1.8% 하락 ○ 환율: 달러화지수는 중동 지정학적 리스크에 따른 안전자산 선호 강화 등으로 상승 유로화와 엔화 가치는 각각 0.2%, 0.9% 하락 ○ 금리: 미국 10년물 국채금리는 연준 금리인하 기대 후퇴 등으로 급등 독일은 물가 억제를 위한 ECB 금리인상 가능성 등으로 8bp 상승 ※ 뉴욕 1M NDF 종가 1,504.6원(스왑포인트 감안 시 1,506.0원. 0.36% 상승). 한국 CDS 상승"
2026-03-20,"■ 주요 뉴스: 미국, 원유 공급 확대 속 관련 시설 파괴 자제 촉구. 이란은 강경 입장 유지 ○ 연준, 은행 자본규제 완화 개편안 공개. 주간 신규실업급여 청구는 2개월래 최저 ○ ECB영란은행일본은행, 모두 금리를 동결. 중동發 인플레이션 위험 등을 경계 ○ Morgan Stanley, 연준 첫 금리인하는 9월. JPMorgan은 투자자의 안일함 경계 ■ 국제금융시장: 미국은 중동發 에너지 공급 부족 우려 등이 영향 주가 하락[-0.3%], 달러화 약세[-0.9%], 금리 하락[-2bp] ○ 주가: 미국 SP500지수는 트럼프의 확전 자제 발언 등으로 낙폭 축소 유로 Stoxx600지수는 이란 전쟁 장기화 가능성 등으로 2.4% 하락 ○ 환율: 달러화지수는 여타 주요 중앙은행의 통화정책회의 결과 등을 반영하며 하락 유로화와 엔화 가치는 각각 1.2%, 1.4% 상승 ○ 금리: 미국 10년물 국채금리는 유가의 상승세 진정 등으로 하락 독일은 ECB 통화정책회의의 일부 매파적 내용 등으로 2bp 상승 ※ 뉴욕 1M NDF 종가 1487.9원(스왑포인트 감안 시 1489.3원, 0.78% 하락). 한국 CDS 상승"
2026-03-19,"■ 주요 뉴스: 3월 FOMC, 금리 동결. 연내 1회 추가 인하 전망 유지하고 물가 전망은 상향 ○ 미국, 高유가 등으로 존스法 일시 유예. 이란은 최대 가스전 공격당해 보복 예고 ○ 유로존 2월 소비자물가(확정치), 전월비 보합. ECB는 은행 규제 완화에 신중 ○ 캐나다 중앙은행, 금리 동결. PIMCO는 사모신용의 비유동적 특성에 주의 요구 ■ 국제금융시장: 미국은 이란 전쟁 격화,인플레이션 우려 고조 등이 영향 주가 하락[-1.4%], 달러화 강세[+0.6%], 금리 상승[+7bp] ○ 주가: 미국 SP500지수는 3월 FOMC 매파적이라는 평가, 유가 불안 등으로 하락 유로 Stoxx600지수는 高유가에 따른 경기 둔화 가능성 등으로 0.8% 하락 ○ 환율: 달러화지수는 미국이스라엘-이란 갈등 증폭, 안전자산 선호 강화 등이 배경 유로화와 엔화 가치는 각각 0.8%, 0.5% 하락 ○ 금리: 미국 10년물 국채금리는 금리인하 전망 후퇴 등으로 상승 독일은 유가 상승에 따른 인플레이션 우려 재부각 등으로 3bp 상승 ※ 뉴욕 1M NDF 종가 1508.2원(스왑포인트 감안 시 1509.6원, 1.76% 상승). 한국 CDS 하락"
2026-03-18,"■ 주요 뉴스: 미국 트럼프, 호르무즈 호위 관련 나토 비난. 이란은 주변국 에너지 시설 공격 ○ 미국 2월 잠정주택판매지수, 전월비 상승. 사모대출 관련 우려는 지속 ○ EU, 에너지 가격 안정화 방안 논의. 독일 3월 ZEW 경기기대지수는 하락 ○ 일본은행 총재, 임금과 물가의 완만한 상승을 위해 정책 결정할 방침 ■ 국제금융시장: 미국은 3월 FOMC 전망 및 유가 불안 등이 영향 주가 상승[+0.3%], 달러화 약세[-0.1%], 금리 하락[-2bp] ○ 주가: 미국 SP500지수는 일부 빅테크 강세, 국채금리 하락 등으로 상승 유로 Stoxx600지수는 호르무즈 해협 봉쇄 완화 기대 등으로 0.7% 상승 ○ 환율: 달러화지수는 주가 상승에 따른 안전자산 선호 약화 등이 반영 유로화는 0.3% 상승, 엔화 가치는 강보합 ○ 금리: 미국 10년물 국채금리는 20년물 입찰에서의 양호한 수요 등이 반영 독일은 그 동안의 가격 하락에 따른 저가 매수 유입 등으로 5bp 하락 ※ 뉴욕 1M NDF 종가 1486.2원(스왑포인트 감안 시 1487.5원, 0.40% 하락). 한국 CDS 약보합"
2026-03-17,"■ 주요 뉴스: 미국, 7개국에 호르무즈 호위 요구. 이란은 일부 유조선의 호르무즈 통과 허용 ○ 미국 트럼프, 즉각적인 금리인하 강조. 중국과의 고위급 무역회담은 긍정적 ○ 독일 25년 기업의 파산, 11년 만에 최고. 저조한 경제 성장 등이 원인 ○ 중국 1~2월 소매판매산업생산, 예상치 상회. 미국의 무역법 301조에는 반발 ■ 국제금융시장: 미국은 호르무즈 해협 재개방 기대유가 급락 등으로 위험자산 선호 강화 주가 상승[+1.0%], 달러화 약세[-0.6%], 금리 하락[-6bp] ○ 주가: 미국 SP500지수는 중동 긴장 완화 가능성, 기술주 및 금융주 강세 등으로 상승 유로 Stoxx600지수는 미국 증시와 동일한 이유 등으로 0.4% 상승 ○ 환율: 달러화지수는 유가 급락 속 안전자산 선호 약화 등으로 하락 유로화와 엔화 가치는 각각 0.8%, 0.4% 상승 ○ 금리: 미국 10년물 국채금리는 인플레이션 우려 후퇴 등이 배경 독일은 미국 국채시장과 동일한 이유 등으로 3bp 하락 ※ 뉴욕 1M NDF 종가 1488.4원(스왑포인트 감안 시 1489.7원, 0.52% 하락). 한국 CDS 강보합"
2026-03-16,"■ 주요 뉴스: 미국, 이란의 군사 시설 공습 지속. 동맹국과 호르무즈 해협 선박 호위 추진 ○ 3월 FOMC, 금리 동결 예상. 금리 전망 불확실성은 이란 전쟁으로 증폭될 소지 ○ 美中 고위급 1차 무역협상, 무역 휴전 이행 상황 및 경제 관계 안정 방안 협의 ○ 중국, 일본캐나다 등에 합성고무 반덤핑 관세. 2월 신규대출은 예상치 하회 ■ 국제금융시장(주간): 미국은 이란 전쟁 장기화 가능성, 국제유가 불안 등이 영향 주가 하락[-1.6%], 달러화 강세[+1.4%], 금리 상승[+14bp] ○ 주가: 미국 SP500지수는 중동 긴장 고조 및 4/4분기 GDP 둔화 등으로 하락 유로 Stoxx600지수는 인플레이션 우려, 산업생산 감소 등으로 0.5% 하락 ○ 환율: 달러화지수는 유가 변동성 확대 등으로 안전자산 선호 강화되며 상승 유로화와 엔화 가치는 각각 1.7%, 1.2% 하락 ○ 금리: 미국 10년물 국채 금리는 인플레이션 우려 등으로 상승 독일은 물가 억제를 위한 ECB의 금리인상 가능성 등으로 상승 ※ 원/달러 환율(주간) 1.1% 상승, 한국 CDS 상승"
